FID	IID	family
SH01488	SH01488	GS1-003
SH01489	SH01489	GS1-003
SH01490	SH01490	GS1-003
SH01491	SH01491	GS1-003
SH01493	SH01493	GS1-004
SH01495	SH01495	GS2-007
SH01497	SH01497	GS1-004
SH01498	SH01498	GS1-004
SH01499	SH01499	GS1-004
SH01500	SH01500	GS1-004
SH01502	SH01502	GS1-004
SH01503	SH01503	GS1-004
SH01504	SH01504	GS1-003
SH01505	SH01505	GS1-004
SH01506	SH01506	GS1-004
SH01507	SH01507	GS1-004
SH01509	SH01509	GS1-004
SH01510	SH01510	GS1-004
SH01511	SH01511	GS1-004
SH01512	SH01512	GS1-004
SH01513	SH01513	GS1-004
SH01514	SH01514	GS1-004
SH01515	SH01515	GS1-004
SH01516	SH01516	GS1-004
SH01517	SH01517	GS1-002
SH01518	SH01518	GS1-004
SH01519	SH01519	GS1-004
SH01520	SH01520	GS1-004
SH01521	SH01521	GS1-004
SH01522	SH01522	GS1-004
SH01523	SH01523	GS1-004
SH01524	SH01524	GS1-004
SH01526	SH01526	GS1-004
SH01527	SH01527	GS1-004
SH01528	SH01528	GS1-004
SH01529	SH01529	GS1-004
SH01530	SH01530	GS1-004
SH01532	SH01532	GS1-004
SH01533	SH01533	GS1-004
SH01534	SH01534	GS1-004
SH01536	SH01536	GS1-004
SH01537	SH01537	GS1-004
SH01538	SH01538	GS1-004
SH01542	SH01542	GS1-004
SH01543	SH01543	GS1-004
SH01544	SH01544	GS1-004
SH01545	SH01545	GS1-004
SH01546	SH01546	GS1-004
SH01550	SH01550	GS1-004
SH01551	SH01551	GS1-004
SH01552	SH01552	GS1-004
SH01553	SH01553	GS1-004
SH01554	SH01554	GS1-004
SH01555	SH01555	GS1-004
SH01556	SH01556	GS1-004
SH01557	SH01557	GS1-004
SH01558	SH01558	GS1-004
SH01559	SH01559	GS1-004
SH01560	SH01560	GS1-004
SH01561	SH01561	GS1-004
SH01563	SH01563	GS1-004
SH01565	SH01565	GS1-004
SH01566	SH01566	GS1-004
SH01567	SH01567	GS1-004
SH01568	SH01568	GS1-004
SH01569	SH01569	GS1-004
SH01570	SH01570	GS1-004
SH01574	SH01574	GS1-004
SH01575	SH01575	GS1-004
SH01576	SH01576	GS1-004
SH01577	SH01577	GS1-004
SH01578	SH01578	GS1-004
SH01579	SH01579	GS1-004
SH01581	SH01581	GS1-004
SH01582	SH01582	GS1-004
SH01583	SH01583	GS1-004
SH01584	SH01584	GS1-004
SH01585	SH01585	GS1-004
SH01586	SH01586	GS1-004
SH01587	SH01587	GS1-004
SH01589	SH01589	GS1-004
SH01591	SH01591	GS1-004
SH01592	SH01592	GS1-004
SH01594	SH01594	GS1-004
SH01595	SH01595	GS1-004
SH01596	SH01596	GS1-004
SH01597	SH01597	GS1-004
SH01598	SH01598	GS1-004
SH01600	SH01600	GS1-004
SH01601	SH01601	GS1-004
SH01602	SH01602	GS1-004
SH01603	SH01603	GS1-004
SH01604	SH01604	GS1-004
SH01605	SH01605	GS1-004
SH01606	SH01606	GS1-004
SH01608	SH01608	GS1-004
SH01609	SH01609	GS1-004
SH01610	SH01610	GS1-004
SH01611	SH01611	GS1-004
SH01612	SH01612	GS1-004
SH01613	SH01613	GS1-004
SH01614	SH01614	GS1-004
SH01615	SH01615	GS1-004
SH01617	SH01617	GS1-004
SH01618	SH01618	GS1-004
SH01619	SH01619	GS1-004
SH01620	SH01620	GS1-004
SH01621	SH01621	GS1-004
SH01622	SH01622	GS1-004
SH01623	SH01623	GS1-004
SH01624	SH01624	GS1-004
SH01627	SH01627	GS1-004
SH01628	SH01628	GS1-004
SH01630	SH01630	GS1-005
SH01634	SH01634	GS1-005
SH01635	SH01635	GS1-005
SH01636	SH01636	GS1-005
SH01637	SH01637	GS1-005
SH01639	SH01639	GS1-005
SH01640	SH01640	GS1-005
SH01641	SH01641	GS2-021
SH01642	SH01642	GS1-005
SH01643	SH01643	GS1-005
SH01644	SH01644	GS1-070
SH01645	SH01645	GS1-005
SH01646	SH01646	GS1-005
SH01647	SH01647	GS1-005
SH01648	SH01648	GS1-005
SH01649	SH01649	GS1-005
SH01653	SH01653	GS1-005
SH01654	SH01654	GS1-005
SH01657	SH01657	GS1-005
SH01658	SH01658	GS1-005
SH01660	SH01660	GS1-005
SH01661	SH01661	GS1-005
SH01662	SH01662	GS1-005
SH01664	SH01664	GS1-005
SH01665	SH01665	GS1-005
SH01667	SH01667	GS1-005
SH01668	SH01668	GS1-005
SH01669	SH01669	GS1-005
SH01670	SH01670	GS1-005
SH01671	SH01671	GS1-005
SH01673	SH01673	GS1-005
SH01675	SH01675	GS1-005
SH01678	SH01678	GS1-005
SH01680	SH01680	GS1-005
SH01681	SH01681	GS1-005
SH01682	SH01682	GS1-005
SH01683	SH01683	GS1-005
SH01684	SH01684	GS1-005
SH01687	SH01687	GS1-005
SH01688	SH01688	GS1-005
SH01689	SH01689	GS1-005
SH01690	SH01690	GS1-005
SH01692	SH01692	GS1-005
SH01693	SH01693	GS1-005
SH01695	SH01695	GS1-005
SH01696	SH01696	GS1-005
SH01697	SH01697	GS1-005
SH01700	SH01700	GS1-005
SH01702	SH01702	GS1-005
SH01703	SH01703	GS1-005
SH01705	SH01705	GS1-005
SH01706	SH01706	GS1-005
SH01707	SH01707	GS1-005
SH01710	SH01710	GS1-005
SH01711	SH01711	GS1-005
SH01713	SH01713	GS1-005
SH01714	SH01714	GS1-005
SH01715	SH01715	GS1-005
SH01716	SH01716	GS1-005
SH01718	SH01718	GS1-005
SH01719	SH01719	GS1-005
SH01720	SH01720	GS1-005
SH01722	SH01722	GS1-005
SH01723	SH01723	GS1-005
SH01726	SH01726	GS1-005
SH01728	SH01728	GS1-005
SH01729	SH01729	GS1-005
SH01731	SH01731	GS1-005
SH01732	SH01732	GS1-005
SH01733	SH01733	GS1-005
SH01734	SH01734	GS1-005
SH01735	SH01735	GS1-004
SH01736	SH01736	GS1-005
SH01737	SH01737	GS1-005
SH01738	SH01738	GS1-005
SH01739	SH01739	GS1-004
SH01740	SH01740	GS1-004
SH01741	SH01741	GS1-004
SH01742	SH01742	GS1-004
SH01743	SH01743	GS1-004
SH01744	SH01744	GS1-005
SH01745	SH01745	GS1-005
SH01747	SH01747	GS1-005
SH01748	SH01748	GS1-005
SH01749	SH01749	GS1-005
SH01750	SH01750	GS1-005
SH01751	SH01751	GS1-004
SH01752	SH01752	GS1-005
SH01753	SH01753	GS1-005
SH01754	SH01754	GS1-005
SH01755	SH01755	GS1-005
SH01756	SH01756	GS1-005
SH01757	SH01757	GS1-005
SH01758	SH01758	GS1-005
SH01759	SH01759	GS1-005
SH01761	SH01761	GS1-004
SH01762	SH01762	GS1-004
SH01763	SH01763	GS1-005
SH01764	SH01764	GS1-005
SH01765	SH01765	GS1-005
SH01766	SH01766	GS1-005
SH01767	SH01767	GS1-006
SH01770	SH01770	GS1-006
SH01772	SH01772	GS1-006
SH01773	SH01773	GS1-006
SH01775	SH01775	GS1-006
SH01776	SH01776	GS1-006
SH01777	SH01777	GS1-006
SH01778	SH01778	GS1-006
SH01779	SH01779	GS1-006
SH01780	SH01780	GS1-006
SH01781	SH01781	GS1-006
SH01782	SH01782	GS1-006
SH01785	SH01785	GS1-006
SH01786	SH01786	GS1-006
SH01787	SH01787	GS1-006
SH01788	SH01788	GS1-006
SH01789	SH01789	GS1-006
SH01790	SH01790	GS1-006
SH01791	SH01791	GS1-006
SH01792	SH01792	GS1-006
SH01793	SH01793	GS1-006
SH01794	SH01794	GS1-006
SH01795	SH01795	GS1-006
SH01796	SH01796	GS1-006
SH01797	SH01797	GS1-006
SH01798	SH01798	GS1-006
SH01799	SH01799	GS1-006
SH01800	SH01800	GS1-006
SH01802	SH01802	GS1-006
SH01803	SH01803	GS1-006
SH01804	SH01804	GS1-006
SH01805	SH01805	GS1-006
SH01806	SH01806	GS1-006
SH01807	SH01807	GS1-006
SH01809	SH01809	GS1-006
SH01812	SH01812	GS1-006
SH01813	SH01813	GS1-006
SH01818	SH01818	GS1-006
SH01819	SH01819	GS1-006
SH01820	SH01820	GS1-006
SH01821	SH01821	GS1-073
SH01826	SH01826	GS1-006
SH01827	SH01827	GS1-006
SH01828	SH01828	GS1-006
SH01829	SH01829	GS1-006
SH01830	SH01830	GS1-006
SH01831	SH01831	GS1-006
SH01832	SH01832	GS1-006
SH01833	SH01833	GS1-006
SH01834	SH01834	GS1-006
SH01835	SH01835	GS1-006
SH01836	SH01836	GS1-006
SH01837	SH01837	GS1-006
SH01838	SH01838	GS1-006
SH01840	SH01840	GS1-006
SH01842	SH01842	GS1-006
SH01843	SH01843	GS1-006
SH01844	SH01844	GS1-006
SH01845	SH01845	GS1-006
SH01846	SH01846	GS1-006
SH01848	SH01848	GS1-006
SH01849	SH01849	GS1-006
SH01850	SH01850	GS1-006
SH01851	SH01851	GS1-006
SH01852	SH01852	GS1-006
SH01853	SH01853	GS1-006
SH01854	SH01854	GS1-006
SH01855	SH01855	GS1-006
SH01856	SH01856	GS1-006
SH01857	SH01857	GS1-006
SH01858	SH01858	GS1-006
SH01859	SH01859	GS1-006
SH01860	SH01860	GS1-006
SH01861	SH01861	GS1-006
SH01862	SH01862	GS1-006
SH01864	SH01864	GS1-006
SH01866	SH01866	GS1-006
SH01867	SH01867	GS1-006
SH01868	SH01868	GS1-006
SH01869	SH01869	GS1-006
SH01870	SH01870	GS1-006
SH01871	SH01871	GS1-006
SH01872	SH01872	GS1-006
SH01873	SH01873	GS1-006
SH01875	SH01875	GS1-006
SH01876	SH01876	GS1-006
SH01877	SH01877	GS1-006
SH01878	SH01878	GS1-006
SH01879	SH01879	GS1-006
SH01881	SH01881	GS1-006
SH01882	SH01882	GS1-006
SH01883	SH01883	GS1-006
SH01886	SH01886	GS1-006
SH01887	SH01887	GS1-006
SH01888	SH01888	GS1-006
SH01889	SH01889	GS1-006
SH01890	SH01890	GS1-006
SH01891	SH01891	GS1-006
SH01892	SH01892	GS1-006
SH01893	SH01893	GS1-006
SH01894	SH01894	GS1-006
SH01896	SH01896	GS1-006
SH01897	SH01897	GS1-006
SH01898	SH01898	GS1-006
SH01900	SH01900	GS1-067
SH01904	SH01904	GS1-007
SH01906	SH01906	GS1-007
SH01907	SH01907	GS1-007
SH01909	SH01909	GS1-007
SH01911	SH01911	GS1-007
SH01912	SH01912	GS1-007
SH01915	SH01915	GS1-007
SH01916	SH01916	GS1-007
SH01917	SH01917	GS1-007
SH01918	SH01918	GS1-007
SH01919	SH01919	GS1-007
SH01920	SH01920	GS1-007
SH01921	SH01921	GS1-007
SH01922	SH01922	GS1-007
SH01923	SH01923	GS1-007
SH01924	SH01924	GS1-007
SH01925	SH01925	GS1-007
SH01928	SH01928	GS1-007
SH01929	SH01929	GS1-007
SH01931	SH01931	GS1-007
SH01932	SH01932	GS1-007
SH01933	SH01933	GS1-007
SH01934	SH01934	GS1-007
SH01935	SH01935	GS1-007
SH01936	SH01936	GS1-007
SH01937	SH01937	GS1-007
SH01938	SH01938	GS1-007
SH01939	SH01939	GS1-007
SH01940	SH01940	GS1-007
SH01942	SH01942	GS1-007
SH01943	SH01943	GS1-007
SH01945	SH01945	GS1-007
SH01947	SH01947	GS1-007
SH01952	SH01952	GS1-007
SH01953	SH01953	GS1-007
SH01955	SH01955	GS1-007
SH01956	SH01956	GS1-007
SH01957	SH01957	GS1-007
SH01959	SH01959	GS1-007
SH01961	SH01961	GS1-007
SH01962	SH01962	GS1-007
SH01963	SH01963	GS1-007
SH01964	SH01964	GS1-007
SH01965	SH01965	GS1-007
SH01966	SH01966	GS1-007
SH01967	SH01967	GS1-007
SH01969	SH01969	GS1-007
SH01970	SH01970	GS1-007
SH01971	SH01971	GS1-007
SH01973	SH01973	GS1-007
SH01975	SH01975	GS1-007
SH01976	SH01976	GS1-007
SH01977	SH01977	GS1-007
SH01978	SH01978	GS1-007
SH01979	SH01979	GS1-007
SH01980	SH01980	GS1-007
SH01981	SH01981	GS1-007
SH01983	SH01983	GS1-007
SH01984	SH01984	GS1-007
SH01985	SH01985	GS1-007
SH01986	SH01986	GS1-007
SH01987	SH01987	GS1-007
SH01988	SH01988	GS1-007
SH01990	SH01990	GS1-007
SH01991	SH01991	GS1-007
SH01992	SH01992	GS1-007
SH01994	SH01994	GS1-007
SH01995	SH01995	GS1-007
SH01997	SH01997	GS1-007
SH01998	SH01998	GS1-007
SH01999	SH01999	GS1-007
SH02000	SH02000	GS1-007
SH02002	SH02002	GS1-007
SH02003	SH02003	GS1-007
SH02005	SH02005	GS1-007
SH02006	SH02006	GS1-007
SH02007	SH02007	GS1-007
SH02009	SH02009	GS1-007
SH02010	SH02010	GS1-007
SH02011	SH02011	GS1-007
SH02012	SH02012	GS1-007
SH02014	SH02014	GS1-007
SH02015	SH02015	GS1-007
SH02016	SH02016	GS1-007
SH02018	SH02018	GS1-007
SH02019	SH02019	GS1-007
SH02020	SH02020	GS1-007
SH02021	SH02021	GS1-007
SH02022	SH02022	GS1-007
SH02023	SH02023	GS1-007
SH02024	SH02024	GS1-007
SH02025	SH02025	GS1-007
SH02026	SH02026	GS1-007
SH02027	SH02027	GS1-007
SH02028	SH02028	GS1-007
SH02029	SH02029	GS1-007
SH02030	SH02030	GS1-007
SH02031	SH02031	GS1-007
SH02032	SH02032	GS1-007
SH02033	SH02033	GS1-007
SH02034	SH02034	GS1-007
SH02035	SH02035	GS1-007
SH02037	SH02037	GS1-007
SH02038	SH02038	GS1-007
SH02039	SH02039	GS1-007
SH02383	SH02383	GS1-010
SH02384	SH02384	GS1-010
SH02385	SH02385	GS1-010
SH02386	SH02386	GS1-010
SH02387	SH02387	GS1-010
SH02388	SH02388	GS1-010
SH02389	SH02389	GS1-010
SH02390	SH02390	GS1-010
SH02392	SH02392	GS1-010
SH02393	SH02393	GS1-010
SH02394	SH02394	GS1-010
SH02395	SH02395	GS1-010
SH02396	SH02396	GS1-010
SH02397	SH02397	GS1-010
SH02398	SH02398	GS1-010
SH02399	SH02399	GS1-010
SH02401	SH02401	GS1-010
SH02402	SH02402	GS1-010
SH02403	SH02403	GS1-010
SH02404	SH02404	GS1-010
SH02405	SH02405	GS1-010
SH02406	SH02406	GS1-010
SH02408	SH02408	GS1-010
SH02409	SH02409	GS1-010
SH02410	SH02410	GS1-010
SH02411	SH02411	GS1-010
SH02412	SH02412	GS1-010
SH02413	SH02413	GS1-010
SH02415	SH02415	GS1-010
SH02416	SH02416	GS1-010
SH02417	SH02417	GS1-010
SH02419	SH02419	GS1-010
SH02420	SH02420	GS1-010
SH02421	SH02421	GS1-010
SH02422	SH02422	GS1-010
SH02423	SH02423	GS1-010
SH02424	SH02424	GS2-010
SH02425	SH02425	GS1-010
SH02426	SH02426	GS1-010
SH02427	SH02427	GS1-010
SH02428	SH02428	GS1-010
SH02429	SH02429	GS1-010
SH02430	SH02430	GS1-010
SH02431	SH02431	GS1-010
SH02433	SH02433	GS1-011
SH02439	SH02439	GS1-011
SH02440	SH02440	GS1-011
SH02442	SH02442	GS1-011
SH02443	SH02443	GS1-011
SH02444	SH02444	GS1-011
SH02445	SH02445	GS1-011
SH02446	SH02446	GS1-011
SH02447	SH02447	GS1-011
SH02448	SH02448	GS1-011
SH02449	SH02449	GS1-011
SH02450	SH02450	GS1-011
SH02451	SH02451	GS1-011
SH02452	SH02452	GS1-011
SH02453	SH02453	GS1-011
SH02454	SH02454	GS1-011
SH02455	SH02455	GS1-011
SH02456	SH02456	GS1-011
SH02457	SH02457	GS1-011
SH02458	SH02458	GS1-011
SH02459	SH02459	GS1-011
SH02460	SH02460	GS1-011
SH02461	SH02461	GS1-011
SH02462	SH02462	GS1-011
SH02463	SH02463	GS1-033
SH02464	SH02464	GS1-011
SH02465	SH02465	GS1-011
SH02466	SH02466	GS1-011
SH02467	SH02467	GS1-011
SH02468	SH02468	GS1-011
SH02469	SH02469	GS1-011
SH02470	SH02470	GS1-011
SH02471	SH02471	GS1-011
SH02472	SH02472	GS1-011
SH02474	SH02474	GS1-011
SH02475	SH02475	GS1-011
SH02476	SH02476	GS1-011
SH02479	SH02479	GS1-011
SH02481	SH02481	GS1-011
SH02482	SH02482	GS1-011
SH02483	SH02483	GS1-011
SH02484	SH02484	GS1-011
SH02485	SH02485	GS1-011
SH02486	SH02486	GS1-011
SH02487	SH02487	GS1-011
SH02489	SH02489	GS1-011
SH02490	SH02490	GS1-011
SH02491	SH02491	GS1-011
SH02492	SH02492	GS1-011
SH02493	SH02493	GS1-011
SH02494	SH02494	GS1-011
SH02496	SH02496	GS1-011
SH02497	SH02497	GS1-011
SH02499	SH02499	GS1-011
SH02500	SH02500	GS1-011
SH02501	SH02501	GS1-011
SH02505	SH02505	GS1-011
SH02506	SH02506	GS1-011
SH02507	SH02507	GS1-011
SH02508	SH02508	GS1-011
SH02509	SH02509	GS1-011
SH02510	SH02510	GS1-011
SH02511	SH02511	GS1-011
SH02512	SH02512	GS1-011
SH02513	SH02513	GS1-011
SH02514	SH02514	GS1-011
SH02516	SH02516	GS1-011
SH02517	SH02517	GS1-011
SH02518	SH02518	GS1-011
SH02520	SH02520	GS1-011
SH02521	SH02521	GS1-011
SH02522	SH02522	GS1-011
SH02523	SH02523	GS1-011
SH02524	SH02524	GS1-011
SH02525	SH02525	GS1-011
SH02526	SH02526	GS1-011
SH02528	SH02528	GS1-011
SH02529	SH02529	GS1-011
SH02530	SH02530	GS1-011
SH02531	SH02531	GS1-011
SH02533	SH02533	GS1-011
SH02534	SH02534	GS1-011
SH02535	SH02535	GS1-011
SH02536	SH02536	GS1-011
SH02537	SH02537	GS1-011
SH02540	SH02540	GS1-011
SH02541	SH02541	GS1-011
SH02542	SH02542	GS1-011
SH02544	SH02544	GS1-011
SH02547	SH02547	GS1-011
SH02548	SH02548	GS1-011
SH02549	SH02549	GS1-011
SH02550	SH02550	GS1-011
SH02551	SH02551	GS1-011
SH02552	SH02552	GS1-011
SH02553	SH02553	GS1-011
SH02554	SH02554	GS1-011
SH02555	SH02555	GS1-011
SH02556	SH02556	GS1-011
SH02557	SH02557	GS1-011
SH02558	SH02558	GS1-011
SH02559	SH02559	GS1-011
SH02560	SH02560	GS1-011
SH02563	SH02563	GS1-011
SH02565	SH02565	GS1-011
SH02566	SH02566	GS2-011
SH02567	SH02567	GS1-011
SH02568	SH02568	GS1-011
SH02569	SH02569	GS1-011
SH02570	SH02570	GS1-011
SH02572	SH02572	GS1-012
SH02576	SH02576	GS1-012
SH02577	SH02577	GS1-012
SH02578	SH02578	GS1-012
SH02579	SH02579	GS1-012
SH02581	SH02581	GS1-012
SH02582	SH02582	GS1-012
SH02583	SH02583	GS1-011
SH02584	SH02584	GS1-012
SH02585	SH02585	GS1-012
SH02586	SH02586	GS1-012
SH02587	SH02587	GS1-012
SH02588	SH02588	GS1-012
SH02589	SH02589	GS1-012
SH02590	SH02590	GS1-012
SH02593	SH02593	GS1-012
SH02595	SH02595	GS1-012
SH02596	SH02596	GS1-012
SH02597	SH02597	GS1-012
SH02598	SH02598	GS1-012
SH02599	SH02599	GS1-012
SH02600	SH02600	GS1-012
SH02601	SH02601	GS1-012
SH02602	SH02602	GS1-012
SH02603	SH02603	GS1-012
SH02604	SH02604	GS1-012
SH02605	SH02605	GS1-012
SH02606	SH02606	GS1-012
SH02607	SH02607	GS1-012
SH02608	SH02608	GS1-012
SH02609	SH02609	GS1-012
SH02610	SH02610	GS1-012
SH02611	SH02611	GS1-012
SH02612	SH02612	GS1-012
SH02613	SH02613	GS1-012
SH02614	SH02614	GS1-012
SH02615	SH02615	GS1-012
SH02617	SH02617	GS1-012
SH02618	SH02618	GS1-012
SH02619	SH02619	GS1-012
SH02623	SH02623	GS1-012
SH02625	SH02625	GS1-012
SH02626	SH02626	GS1-012
SH02627	SH02627	GS1-012
SH02628	SH02628	GS1-012
SH02630	SH02630	GS1-012
SH02631	SH02631	GS1-012
SH02632	SH02632	GS1-012
SH02633	SH02633	GS1-012
SH02634	SH02634	GS1-012
SH02635	SH02635	GS1-029
SH02636	SH02636	GS1-012
SH02637	SH02637	GS1-012
SH02638	SH02638	GS1-012
SH02639	SH02639	GS1-012
SH02640	SH02640	GS1-012
SH02641	SH02641	GS1-012
SH02642	SH02642	GS1-012
SH02644	SH02644	GS1-012
SH02646	SH02646	GS1-012
SH02647	SH02647	GS1-012
SH02648	SH02648	GS1-012
SH02649	SH02649	GS1-012
SH02650	SH02650	GS1-012
SH02651	SH02651	GS1-012
SH02652	SH02652	GS1-012
SH02653	SH02653	GS1-012
SH02654	SH02654	GS1-012
SH02655	SH02655	GS1-012
SH02656	SH02656	GS1-012
SH02657	SH02657	GS1-012
SH02658	SH02658	GS1-012
SH02659	SH02659	GS1-012
SH02660	SH02660	GS1-012
SH02662	SH02662	GS1-012
SH02663	SH02663	GS1-012
SH02664	SH02664	GS1-012
SH02665	SH02665	GS1-012
SH02666	SH02666	GS1-012
SH02667	SH02667	GS1-012
SH02669	SH02669	GS1-012
SH02670	SH02670	GS1-012
SH02671	SH02671	GS1-012
SH02672	SH02672	GS1-012
SH02674	SH02674	GS1-012
SH02675	SH02675	GS1-012
SH02677	SH02677	GS1-012
SH02678	SH02678	GS1-012
SH02679	SH02679	GS1-012
SH02680	SH02680	GS1-012
SH02681	SH02681	GS1-012
SH02682	SH02682	GS1-012
SH02683	SH02683	GS1-012
SH02684	SH02684	GS1-012
SH02685	SH02685	GS1-012
SH02686	SH02686	GS1-012
SH02687	SH02687	GS1-012
SH02688	SH02688	GS1-012
SH02690	SH02690	GS1-012
SH02691	SH02691	GS1-012
SH02692	SH02692	GS1-012
SH02693	SH02693	GS1-012
SH02694	SH02694	GS1-012
SH02695	SH02695	GS1-012
SH02696	SH02696	GS1-012
SH02698	SH02698	GS1-012
SH02699	SH02699	GS1-012
SH02700	SH02700	GS1-012
SH02701	SH02701	GS1-012
SH02702	SH02702	GS1-012
SH02703	SH02703	GS1-012
SH02704	SH02704	GS1-012
SH02705	SH02705	GS1-012
SH02706	SH02706	GS1-012
SH02707	SH02707	GS2-012
SH02708	SH02708	GS1-012
SH02709	SH02709	GS1-012
SH02710	SH02710	GS1-012
SH02711	SH02711	GS1-012
SH02713	SH02713	GS1-013
SH02717	SH02717	GS1-013
SH02718	SH02718	GS1-013
SH02719	SH02719	GS1-013
SH02720	SH02720	GS1-013
SH02721	SH02721	GS1-013
SH02722	SH02722	GS1-013
SH02723	SH02723	GS1-013
SH02724	SH02724	GS1-013
SH02725	SH02725	GS1-013
SH02726	SH02726	GS1-013
SH02727	SH02727	GS1-013
SH02728	SH02728	GS1-013
SH02729	SH02729	GS1-013
SH02730	SH02730	GS1-013
SH02731	SH02731	GS1-013
SH02732	SH02732	GS1-013
SH02733	SH02733	GS1-013
SH02734	SH02734	GS1-013
SH02735	SH02735	GS1-013
SH02736	SH02736	GS1-013
SH02738	SH02738	GS1-013
SH02739	SH02739	GS1-013
SH02740	SH02740	GS1-013
SH02741	SH02741	GS1-013
SH02742	SH02742	GS1-013
SH02744	SH02744	GS1-013
SH02747	SH02747	GS1-013
SH02748	SH02748	GS1-013
SH02749	SH02749	GS1-013
SH02750	SH02750	GS1-013
SH02751	SH02751	GS1-013
SH02752	SH02752	GS2-013
SH02753	SH02753	GS2-013
SH02754	SH02754	GS1-013
SH02759	SH02759	GS1-013
SH02760	SH02760	GS1-013
SH02761	SH02761	GS1-013
SH02762	SH02762	GS1-013
SH02764	SH02764	GS1-013
SH02767	SH02767	GS1-013
SH02769	SH02769	GS1-013
SH02770	SH02770	GS1-013
SH02771	SH02771	GS2-013
SH02772	SH02772	GS1-013
SH02775	SH02775	GS1-013
SH02777	SH02777	GS1-013
SH02780	SH02780	GS1-013
SH02781	SH02781	GS1-013
SH02782	SH02782	GS1-013
SH02783	SH02783	GS1-013
SH02788	SH02788	GS1-013
SH02789	SH02789	GS1-013
SH02792	SH02792	GS1-013
SH02794	SH02794	GS1-013
SH02795	SH02795	GS1-013
SH02796	SH02796	GS1-013
SH02799	SH02799	GS1-013
SH02800	SH02800	GS1-013
SH02801	SH02801	GS1-013
SH02802	SH02802	GS1-013
SH02803	SH02803	GS1-013
SH02807	SH02807	GS1-013
SH02808	SH02808	GS1-013
SH02809	SH02809	GS1-013
SH02810	SH02810	GS1-013
SH02813	SH02813	GS1-013
SH02814	SH02814	GS1-013
SH02815	SH02815	GS1-013
SH02816	SH02816	GS1-013
SH02819	SH02819	GS1-013
SH02820	SH02820	GS1-013
SH02821	SH02821	GS1-013
SH02822	SH02822	GS1-013
SH02823	SH02823	GS1-013
SH02824	SH02824	GS1-013
SH02825	SH02825	GS1-013
SH02826	SH02826	GS1-013
SH02827	SH02827	GS1-013
SH02828	SH02828	GS1-013
SH02829	SH02829	GS1-013
SH02830	SH02830	GS1-013
SH02832	SH02832	GS1-013
SH02833	SH02833	GS1-013
SH02834	SH02834	GS1-013
SH02836	SH02836	GS1-013
SH02837	SH02837	GS1-013
SH02838	SH02838	GS1-019
SH02839	SH02839	GS1-014
SH02843	SH02843	GS1-014
SH02845	SH02845	GS1-013
SH02846	SH02846	GS1-014
SH02848	SH02848	GS1-014
SH02849	SH02849	GS1-014
SH02850	SH02850	GS1-014
SH02851	SH02851	GS1-014
SH02852	SH02852	GS1-014
SH02853	SH02853	GS1-014
SH02854	SH02854	GS1-014
SH02855	SH02855	GS1-014
SH02857	SH02857	GS1-014
SH02858	SH02858	GS1-014
SH02860	SH02860	GS1-014
SH02863	SH02863	GS1-014
SH02865	SH02865	GS1-014
SH02866	SH02866	GS1-014
SH02867	SH02867	GS1-014
SH02868	SH02868	GS1-014
SH02869	SH02869	GS1-014
SH02870	SH02870	GS1-014
SH02871	SH02871	GS1-014
SH02872	SH02872	GS1-014
SH02873	SH02873	GS1-014
SH02875	SH02875	GS1-014
SH02877	SH02877	GS1-014
SH02879	SH02879	GS1-014
SH02881	SH02881	GS1-014
SH02882	SH02882	GS1-014
SH02883	SH02883	GS1-014
SH02884	SH02884	GS1-014
SH02885	SH02885	GS1-014
SH02886	SH02886	GS1-014
SH02889	SH02889	GS1-014
SH02890	SH02890	GS1-014
SH02891	SH02891	GS1-014
SH02892	SH02892	GS1-014
SH02893	SH02893	GS1-014
SH02895	SH02895	GS1-014
SH02896	SH02896	GS1-014
SH02897	SH02897	GS1-014
SH02898	SH02898	GS1-014
SH02899	SH02899	GS1-014
SH02900	SH02900	GS1-014
SH02901	SH02901	GS1-014
SH02903	SH02903	GS1-014
SH02905	SH02905	GS1-014
SH02906	SH02906	GS1-014
SH02908	SH02908	GS1-014
SH02911	SH02911	GS1-014
SH02912	SH02912	GS1-014
SH02913	SH02913	GS1-014
SH02914	SH02914	GS1-014
SH02915	SH02915	GS1-014
SH02916	SH02916	GS1-014
SH02917	SH02917	GS1-014
SH02918	SH02918	GS1-014
SH02919	SH02919	GS1-014
SH02921	SH02921	GS1-014
SH02922	SH02922	GS1-014
SH02923	SH02923	GS1-014
SH02924	SH02924	GS1-014
SH02925	SH02925	GS1-014
SH02926	SH02926	GS1-014
SH02927	SH02927	GS1-014
SH02929	SH02929	GS1-014
SH02930	SH02930	GS1-014
SH02936	SH02936	GS1-014
SH02937	SH02937	GS1-014
SH02938	SH02938	GS1-014
SH02939	SH02939	GS1-014
SH02940	SH02940	GS1-014
SH02941	SH02941	GS1-014
SH02942	SH02942	GS1-014
SH02943	SH02943	GS1-014
SH02944	SH02944	GS1-014
SH02945	SH02945	GS1-014
SH02946	SH02946	GS1-014
SH02949	SH02949	GS1-014
SH02950	SH02950	GS1-014
SH02951	SH02951	GS1-014
SH02952	SH02952	GS1-014
SH02953	SH02953	GS1-014
SH02954	SH02954	GS1-014
SH02955	SH02955	GS1-014
SH02956	SH02956	GS1-014
SH02957	SH02957	GS1-014
SH02958	SH02958	GS1-014
